Timeline,Start time,Duration,Row,Instance number,OUTCOME,PLAYER'S NAME,Shot Direction,Stroke,Ungrouped,Notes,Flags
PMM2025_R16_WD_GO PEI KEE & TEOH MEI XING (MAS) - JIA YI FAN & ZHANG SHU XIAN (CHN),1145.3947485869999,11.9822486950859,RALLY,33,,,,,,clear - defend,
PMM2025_R16_WD_GO PEI KEE & TEOH MEI XING (MAS) - JIA YI FAN & ZHANG SHU XIAN (CHN),1171.6968503459993,8.962987914219411,RALLY,34,,,,,,defend - clear,
PMM2025_R16_WD_GO PEI KEE & TEOH MEI XING (MAS) - JIA YI FAN & ZHANG SHU XIAN (CHN),1196.9951670259998,10.966937221767921,RALLY,35,,,,,,clear - hard drive,
PMM2025_R16_WD_GO PEI KEE & TEOH MEI XING (MAS) - JIA YI FAN & ZHANG SHU XIAN (CHN),1260.6949352099996,8.926374049568949,RALLY,36,,,,,,soft drive - clear,
PMM2025_R16_WD_GO PEI KEE & TEOH MEI XING (MAS) - JIA YI FAN & ZHANG SHU XIAN (CHN),1310.3953025919996,7.1982218596065195,RALLY,37,,,,,,smash - tap,
PMM2025_R16_WD_GO PEI KEE & TEOH MEI XING (MAS) - JIA YI FAN & ZHANG SHU XIAN (CHN),1329.7949616519988,4.908910721153688,RALLY,38,,,,,,receive serves,
PMM2025_R16_WD_GO PEI KEE & TEOH MEI XING (MAS) - JIA YI FAN & ZHANG SHU XIAN (CHN),1347.093416317,9.775986535693164,RALLY,39,,,,,,smash - block,
PMM2025_R16_WD_GO PEI KEE & TEOH MEI XING (MAS) - JIA YI FAN & ZHANG SHU XIAN (CHN),1417.8957149549997,6.2477911921807845,RALLY,40,,,,,,soft drive - smash,
PMM2025_R16_WD_GO PEI KEE & TEOH MEI XING (MAS) - JIA YI FAN & ZHANG SHU XIAN (CHN),1439.976027979,7.938552450505313,RALLY,41,,,,,,lob - clear,
PMM2025_R16_WD_GO PEI KEE & TEOH MEI XING (MAS) - JIA YI FAN & ZHANG SHU XIAN (CHN),1481.6950187349987,4.935357589937212,RALLY,42,,,,,,receive serves,
